2023-03-20 17:20:00,598 INFO    MainThread:405845 [wandb_setup.py:_flush():76] Configure stats pid to 405845
2023-03-20 17:20:00,599 INFO    MainThread:405845 [wandb_setup.py:_flush():76] Loading settings from /home/yaocong/.config/wandb/settings
2023-03-20 17:20:00,599 INFO    MainThread:405845 [wandb_setup.py:_flush():76] Loading settings from /home/yaocong/Experimental/light_ssd/wandb/settings
2023-03-20 17:20:00,599 INFO    MainThread:405845 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-20 17:20:00,599 INFO    MainThread:405845 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-20 17:20:00,599 INFO    MainThread:405845 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/home/yaocong/Experimental/light_ssd/train.py'}
2023-03-20 17:20:00,599 INFO    MainThread:405845 [wandb_init.py:_log_setup():506] Logging user logs to /home/yaocong/Experimental/light_ssd/wandb/run-20230320_172000-woaqub5n/logs/debug.log
2023-03-20 17:20:00,599 INFO    MainThread:405845 [wandb_init.py:_log_setup():507] Logging internal logs to /home/yaocong/Experimental/light_ssd/wandb/run-20230320_172000-woaqub5n/logs/debug-internal.log
2023-03-20 17:20:00,599 INFO    MainThread:405845 [wandb_init.py:init():546] calling init triggers
2023-03-20 17:20:00,599 INFO    MainThread:405845 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'train_images': '/home/yaocong/Experimental/pytorch_model/dataset/train/images/', 'train_masks': '/home/yaocong/Experimental/pytorch_model/dataset/train/masks/', 'device': 'GPU', 'gpus': '0', 'batch_size': 2, 'num_workers': 1, 'epochs': 150, 'learning_rate': 0.0001, 'save_dir': './checkpoint//bs2e150/', 'resume': '/home/yaocong/Experimental/My_pytorch_model/checkpoint/model_1.pth'}
2023-03-20 17:20:00,599 INFO    MainThread:405845 [wandb_init.py:init():602] starting backend
2023-03-20 17:20:00,599 INFO    MainThread:405845 [wandb_init.py:init():606] setting up manager
2023-03-20 17:20:00,600 INFO    MainThread:405845 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-20 17:20:00,601 INFO    MainThread:405845 [wandb_init.py:init():613] backend started and connected
2023-03-20 17:20:00,603 INFO    MainThread:405845 [wandb_init.py:init():701] updated telemetry
2023-03-20 17:20:00,604 INFO    MainThread:405845 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-20 17:20:01,117 INFO    MainThread:405845 [wandb_run.py:_on_init():2133] communicating current version
2023-03-20 17:20:01,392 INFO    MainThread:405845 [wandb_run.py:_on_init():2142] got version response 
2023-03-20 17:20:01,393 INFO    MainThread:405845 [wandb_init.py:init():789] starting run threads in backend
2023-03-20 17:20:02,502 INFO    MainThread:405845 [wandb_run.py:_console_start():2114] atexit reg
2023-03-20 17:20:02,502 INFO    MainThread:405845 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-20 17:20:02,502 INFO    MainThread:405845 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-20 17:20:02,503 INFO    MainThread:405845 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-20 17:20:02,503 INFO    MainThread:405845 [wandb_init.py:init():831] run started, returning control to user process
2023-03-20 17:29:37,394 INFO    MainThread:405845 [wandb_run.py:_finish():1854] finishing run jhmay56998/lightssd-project/woaqub5n
2023-03-20 17:29:37,394 INFO    MainThread:405845 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-03-20 17:29:37,394 INFO    MainThread:405845 [wandb_run.py:_restore():2066] restore
2023-03-20 17:29:37,394 INFO    MainThread:405845 [wandb_run.py:_restore():2072] restore done
2023-03-20 17:29:44,408 INFO    MainThread:405845 [wandb_run.py:_footer_history_summary_info():3422] rendering history
2023-03-20 17:29:44,409 INFO    MainThread:405845 [wandb_run.py:_footer_history_summary_info():3454] rendering summary
2023-03-20 17:29:44,410 INFO    MainThread:405845 [wandb_run.py:_footer_sync_info():3380] logging synced files
